wavelength_nm,pct_reflect
564.0,0.15168749574517276
565.0,0.1525231393632329
566.0,0.15334634488397683
567.0,0.1541092407034658
568.0,0.1548471922857957
569.0,0.15558366736078896
570.0,0.1562945591373198
571.0,0.15691239204795468
572.0,0.157492268974031
573.0,0.15804718674847307
574.0,0.1585847374841574
575.0,0.15911631764406498
576.0,0.15965698194947264
577.0,0.16019845763201024
578.0,0.16072063196729214
579.0,0.16121462185034216
580.0,0.16168868189091487
581.0,0.16214692181396806
582.0,0.1625870465230684
583.0,0.16300275472624495
584.0,0.16333940821877893
585.0,0.1635999244925777
586.0,0.16397040357279846
587.0,0.16431444902814474
588.0,0.16447067490421086
589.0,0.16434023053967187
590.0,0.1642472775915329
591.0,0.1643689231774018
592.0,0.16466835442367597
593.0,0.16488680487530372
594.0,0.16493290032255048
